iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.9880237326436032,0.9879993574119947,0.9880237326436032,0.9879993574119947,0.9682234012475665,0.9681592219478861,0.0,0.0,-21925.504053816006,-21906.345116002805,-21906.345309067805,-21921.45973400123,-22669.645856416766
1,0.9761201115061409,0.976079422911196,0.9761201115061409,0.976079422911196,0.9408408372841813,0.9407234979145445,0.9408408372841813,0.9407234979145445,-22005.53351488166,-21986.417304233797,-21986.520301151766,-22005.158370256537,-22005.15837025658
2,0.9761185067822409,0.9760790288933613,0.9761185067822409,0.9760790288933613,0.952525321329686,0.9521582955467132,0.952525321329686,0.9521582955467132,-21739.577304584935,-21712.033922389553,-21712.009467684977,-21732.43649919848,-21732.436499198484
3,0.9840480021101763,0.9840804946291579,0.9840480021101763,0.9840804946291579,0.9682241327174597,0.9681600313073062,0.9682241327174597,0.9681600313073062,-21831.209870798953,-21814.2611926798,-21814.26009886821,-21831.051511358608,-21831.051511363145
4,0.9721678314383091,0.9722396395804094,0.9721678314383091,0.9722396395804094,0.9603598458466096,0.9604016761720915,0.9603598458466096,0.9604016761720915,-22106.653065983297,-22084.45413629354,-22084.43794220568,-22106.72549532925,-22106.725495329247
5,0.9721676458913874,0.9721563563148579,0.9721676458913874,0.9721563563148579,0.9564397282176161,0.9562308123224273,0.0030809289920591355,0.0014744035112260097,-21731.698193096618,-21705.557883617003,-21705.5407291762,-21727.145140823093,-22430.61358129896
6,0.9761197024211131,0.9761579014756467,0.9721677131023669,0.9722387662038819,0.9408394407643357,0.9409580972808099,0.0007032844645047411,-0.0007555680052413843,-21899.737255596618,-21881.850076731986,-21904.771513319607,-21904.610081386454,-22666.48951259021
7,0.9761201120034548,0.9760793600623975,0.9721681618615581,0.972078968227262,0.9408407817850623,0.9409651417348377,0.9408407817850623,0.9409651417348377,-22089.36163988166,-22064.30433955931,-22069.614120274488,-22084.163814616157,-22084.16384983603
8,0.9761180038802713,0.9761090785026794,0.9761180038802713,0.9761090785026794,0.9486206469367066,0.9487548749316236,0.9486206469367066,0.9487548749316236,-22080.5617206326,-22058.811047156632,-22058.796137028672,-22078.939255610112,-22078.93925561013
9,0.9642882526481433,0.9644832973651136,0.9642882526481433,0.9644832973651136,0.9292251724632824,0.9291280489027042,0.9292251724632824,0.9291280489027042,-22205.110056185633,-22173.96168957129,-22173.959551841686,-22196.615449015586,-22196.615449036224
10,0.9721681520308438,0.9722410507192037,0.9682242048531076,0.9682408313009851,0.9408408033337107,0.9406426330792825,0.373917495534728,0.8382159561989017,-22066.993689638908,-22044.10627144834,-22041.400053419155,-22069.710055790532,-22272.10624271967
11,0.984046231756515,0.9840785733511599,0.984046231756515,0.9840785733511599,0.9603561983335571,0.9603137080353727,0.9603561983335571,0.9603137080353727,-22436.40257341133,-22410.9220662805,-22410.901547883022,-22424.442005176308,-22424.442005176308
12,0.9920080071673602,0.9919994514454265,0.9880240223755168,0.9880800184978996,0.9525285205761599,0.9524816078459644,0.9525285205761599,0.9524816078459644,-21928.221179072316,-21911.177696492818,-21909.664507314683,-21927.749799776255,-21927.7498986895
13,0.9564403969681747,0.9564823310257051,0.9525284809619239,0.9526435465769826,0.9564403969681747,0.9563201489667101,0.9564403969681747,0.9563201489667101,-22196.22483903633,-22170.832060592158,-22170.080510218464,-22186.285532222406,-22186.285532222006
14,0.9800789126036474,0.9799980247965865,0.9800789126036474,0.9799980247965865,0.02404836880883415,0.02208657947230984,0.9880233880593668,0.9879996708636449,-22137.27864065059,-22111.007082145188,-22111.00298915753,-22915.970803521166,-22129.753937186055
15,0.9642469736800964,0.9642893166690669,0.9642469736800964,0.9642893166690669,0.9485569290337295,0.9484203352095216,0.9485569290337295,0.9484203352095216,-22827.905306441946,-22784.987467015024,-22785.017175539768,-22798.83360329831,-22798.83360343177
16,0.9880217910672757,0.9879989968874341,0.9880217910672757,0.9879989968874341,0.9721626007947675,0.9723211220308103,0.9721626007947675,0.9723211220308103,-22655.84903524592,-22638.733486567977,-22638.72545150226,-22656.469366943813,-22656.469366943813
17,0.9642882929544225,0.9641592139888597,0.9642882929544225,0.9641592139888597,0.9564404461319836,0.9562394104155892,0.9564404461319836,0.9562394104155892,-22230.20637502559,-22197.59603822118,-22197.56624243952,-22219.30073138047,-22219.300731366933
18,0.9682166915112274,0.9680748991919798,0.9682166915112274,0.9680748991919798,0.0012032547776138491,0.001171303074670571,0.0002579296264754354,-0.0001861737898666664,-21804.526194953625,-21776.482387545013,-21776.473073775294,-22477.168878380453,-22477.36383541702
19,0.9800775263859551,0.9800792985894479,0.9800775263859551,0.9800792985894479,0.9682199840610477,0.968315830193708,0.9682199840610477,0.968315830193708,-22388.25670475129,-22361.305401101763,-22361.313683163728,-22377.62576961401,-22377.62576961401
20,0.9642882549291147,0.9642401838089956,0.9642882549291147,0.9642401838089956,0.9447286802087551,0.9447240148367854,0.414150664438472,0.8586433315426382,-22195.67662662629,-22169.64869196291,-22169.663007989457,-22189.950525796317,-22412.396674568947
21,0.9682242069193612,0.9683205191917292,0.9682242069193612,0.9683205191917292,0.9408408033337107,0.9406417026311127,0.9408408033337107,0.9406417026311127,-22549.943835322316,-22523.329275953758,-22523.32965556458,-22542.865596834617,-22542.865596835065
22,0.9761158346767959,0.976238902708309,0.9761158346767959,0.976238902708309,0.9761161256681924,0.9762411447096442,0.9761161256681924,0.9762411447096442,-22473.60839039428,-22455.253894927377,-22455.246388554544,-22471.403819846768,-22471.403859841754
23,0.9642882532183862,0.9642385674511147,0.9642882532183862,0.9642385674511147,0.972168140836529,0.9720774715046371,0.972168140836529,0.9720774715046371,-22087.35285940059,-22048.73812270486,-22048.729811281668,-22065.29578988465,-22065.29578988465
24,0.956440220044586,0.9566452500601648,0.956440220044586,0.9566452500601648,0.956440220044586,0.9564835633088379,0.0007528779400037668,0.000439893415382868,-21813.68456226928,-21778.419120277456,-21778.414632438387,-21797.054265099123,-22582.769529009936
