iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.8984987916769173,0.898996146152038,0.8984987916769173,0.898996146152038,0.9214405031252068,0.9214107351761414,0.9214405031252068,0.9214107351761414,-11571.474481194156,-11544.050115401764,-11544.048412927088,-11546.410718703311,-11546.410718701938
1,0.9446641317304777,0.9444519321360989,0.9446641317304777,0.9444519321360989,0.9368880858079383,0.9367713571994354,0.9368880858079383,0.9367713571994354,-11496.977009330982,-11471.785338096724,-11471.776893444252,-11473.288988653214,-11473.288988653214
2,0.8683607586612206,0.8686824473479884,0.004078582671323261,0.0046129334170031955,0.8609058750811949,0.8611682446207036,0.8609058750811949,0.8611682446207036,-10983.014748346182,-10943.507503549003,-11136.121542581834,-10945.905681517304,-10945.905681509164
3,0.8609056543187869,0.8618162299650992,0.8460920103112441,0.8469475430964124,0.8758474528704747,0.8750687552176245,0.8758474528704747,0.8750687552176245,-11313.508888971182,-11271.905606099324,-11269.787004525753,-11272.905273096356,-11272.90527310429
4,0.8608954693848282,0.8638309221398821,0.8608954693848282,0.8638309221398821,0.8460825308620867,0.8512605212309919,0.8460825308620867,0.8512605212309919,-11211.4584910624,-11179.577471834804,-11179.577199861655,-11182.266852648963,-11182.26661357992
5,0.9446733848610434,0.9443191710622184,0.9446733848610434,0.9443191710622184,0.9603206525010987,0.9603203935689262,0.0,0.0,-11287.660356781995,-11266.979788893037,-11266.97835713571,-11268.257027502224,-11511.13451304406
6,0.9137637243231257,0.9132921456226587,0.9137637243231257,0.9132921456226587,0.9291543021347369,0.9288072971378101,0.9291543021347369,0.9288072971378101,-11254.173718153615,-11220.501182908642,-11220.501093207706,-11222.88807422759,-11222.888074510262
7,0.9291540700751095,0.9296104641111682,0.5232000333439426,0.7446138593952079,0.9291542036588974,0.9291263547989527,0.0,0.0,-11132.639730136723,-11109.308764856105,-11171.276188868942,-11111.69372306725,-11372.575223701919
8,0.9524809382781522,0.9529683149090802,0.9524809382781522,0.9529683149090802,0.9368977641912305,0.9371294571976405,0.9368977641912305,0.9371294571976405,-11279.366137385034,-11251.968328734509,-11252.047631284078,-11255.169905775849,-11255.169917067342
9,0.9214426838579671,0.9222591824176021,0.5952033872916769,0.730097922915095,0.9137632588554571,0.9142592920335829,0.9137632588554571,0.9142592920335829,-11221.50437129044,-11197.657091782046,-11226.734114301664,-11199.098741381535,-11199.098741407934
10,0.8833664067068218,0.8838534126813308,0.8833664067068218,0.8838534126813308,0.9137633297841882,0.914090149210384,0.9137633297841882,0.914090149210384,-11222.487158297197,-11184.008678539543,-11184.009084662839,-11188.091611111118,-11188.091610943104
11,0.936897594475247,0.936899165051552,0.936897594475247,0.936899165051552,0.936897594475247,0.936899165051552,0.936897594475247,0.936899165051552,-11288.127208285372,-11265.100704613367,-11265.092670420034,-11266.4823461388,-11266.482346138799
12,0.9760961061483148,0.9761614280947525,0.9760961061483148,0.9761614280947525,0.9760961061483148,0.9761614280947525,0.9760961061483148,0.9761614280947525,-11230.922842214428,-11213.474733788342,-11213.424436615951,-11214.807702546455,-11214.807702547316
13,0.913754781677233,0.9139320335276849,0.913754781677233,0.9139320335276849,0.0,0.0,0.0,0.0,-11186.705333285372,-11146.882213481633,-11146.889133440278,-11385.123020131081,-11384.405064043665
14,0.8609057226390174,0.8627858392294907,0.8609057226390174,0.8627858392294907,0.8609058286049567,0.8627903212877305,0.8609058286049567,0.8627903212877305,-11036.164737420508,-10993.434324685326,-10993.43261472967,-10996.579239606408,-10996.57931716554
15,0.913754781677233,0.9132886167717109,0.913754781677233,0.9132886167717109,0.9291471240438172,0.9288046193635886,0.9291471240438172,0.9288046193635886,-11380.457687961049,-11355.334695876325,-11355.326819549058,-11357.059662730746,-11357.059662731468
