iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.03929294693572309,0.03975234175882744,0.00023877363308872116,0.001306639125520648,0.04409342648460582,0.05002273888270618,-5.4259805088256746e-05,-0.0005007288334519191,-19861.513758176938,-19618.87647455201,-19615.01186116736,-19620.49493100362,-19621.266887722097
1,0.14501512939897085,0.15506125305326968,0.0029155157977790863,-0.0020149452895730675,0.06747056015416021,0.07183824307386401,-0.0004945483371340781,-0.0013220401806731254,-20137.72710032624,-19882.47633486035,-19885.799671036275,-19886.203802317275,-19890.69895412435
2,0.00018558698007528824,-6.334118996534277e-05,0.00018558698007528824,-6.334118996534277e-05,8.880209932197455e-05,-7.741589701334559e-05,8.880209932197455e-05,-7.741589701334559e-05,-20051.33302060054,-19851.716538735953,-19851.723068794843,-19853.219579961347,-19853.219042546632
3,0.05769848388959518,0.05427773654247865,-0.0004678907924583973,-0.0025986247947325097,0.02621777276181618,0.031146269413945347,-0.00012507159441326704,0.0010091437982433116,-19872.733874692247,-19596.943636926742,-19596.04042900414,-19604.391834778588,-19602.575137533688
4,0.4894895153444154,0.4936419591904831,-0.0011190126739049637,-0.0021756931551664945,0.015287294907630913,0.014649319961047156,0.015287294907630913,0.014649319961047156,-19838.006356153575,-19591.66724448524,-19631.04957790684,-19630.654694809495,-19630.654694732588
5,0.007507575786629908,0.004192785231386014,1.0683060854369357e-05,-0.005972397587803718,0.0023439825613688773,-0.001318792833251541,0.0023439825613688773,-0.001318792833251541,-20199.385931108598,-19937.969604239126,-19937.966588011444,-19939.496454759083,-19939.496452722793
6,0.17565130027037637,0.24474210452227924,0.0019463782154161258,0.0029673053078028006,1.1701876368698038e-06,0.0012210943121751272,1.1701876368698038e-06,0.0012210943121751272,-19977.940114094232,-19765.60649488774,-19769.227387756644,-19780.674486489734,-19780.6762092978
7,0.015539943397546175,0.04831576096431006,4.4265799134054636e-05,-0.005412673204012607,0.0,0.0,-0.00018408695137944105,-0.00015310678579180683,-19868.56824043862,-19549.91842786978,-19551.23580934644,-19562.793017832355,-19558.313079990116
8,0.1405216484962263,0.137636950121841,0.14052109259121223,0.13772728619797678,0.047784497049311925,0.052069295211025234,2.4503166019393148e-05,-0.00037294042107197285,-20030.336105897266,-19762.623694686532,-19762.62204817502,-19766.21157095555,-19766.518035432655
9,0.03312731029420084,0.028632386715048096,0.03239309952526582,0.027711846200229533,0.0,0.0,-5.267269019707528e-05,-0.002804593663404091,-19875.856634233598,-19623.04333015645,-19622.99807395769,-19640.76905507982,-19632.943601492396
10,0.3666097173834738,0.42250764903290217,0.3641875905090498,0.4193152808026547,0.0005403976431396909,0.0007882457454986223,0.0005403976431396909,0.0007882457454986223,-20003.316234323556,-19793.694720439038,-19793.817263997076,-19814.2617740377,-19814.255387407466
11,0.014831919679964122,0.008288529660707023,-0.00013747475256562834,-0.0009994996541803213,7.252467959618206e-05,-0.001137445625634274,0.001317538225424937,-0.0010357652116787304,-20213.484379206613,-19995.150114811775,-19993.121290882442,-20002.116899467386,-20002.425489445373
12,0.08453244520340396,0.08291849181035363,0.08336587165740181,0.08190839080025261,0.035553443212667575,0.03305529411103719,0.0068182174640624114,0.004307548349746412,-19974.18301134692,-19726.897850506,-19726.89778914066,-19731.275935366826,-19731.549759219128
13,0.5924894731610092,0.5996383301006316,0.5924894731610092,0.5996383301006316,0.0,0.0,-0.0034713999206024498,-0.005966435730709924,-20114.109162025892,-19909.120469852092,-19909.12132436969,-19969.704413276766,-19958.114196375842
14,0.24526167938889692,0.2670893217851151,0.24526167938889692,0.2670893217851151,0.0976939865685513,0.09626568623509134,0.0,0.0,-19903.20449572192,-19624.181847087395,-19624.195884428806,-19658.700184527974,-19668.54384664726
