iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.00044188445648518464,0.00551397751059465,-0.0009892637584523398,0.007000791456996813,0.0,0.0,0.7154321461009248,0.9045989211774745,-23013.151884489907,-23203.021509562703,-23227.366015076783,-24548.5061292452,-23230.27866126268
1,0.9840480422938406,0.9839987931727165,0.9840480422938406,0.9839987931727165,0.9840480422938406,0.9839987931727165,0.9840480422938406,0.9839987931727165,-23233.107590272266,-23216.714499082493,-23216.69895291531,-23220.710317683,-23220.710317682995
2,0.992008000632441,0.9919994357668624,0.992008000632441,0.9919994357668624,0.992008000632441,0.9919994357668624,0.992008000632441,0.9919994357668624,-23378.79043322192,-23366.44203457274,-23366.32583143437,-23369.627178810042,-23369.627178810042
3,0.9880240239790962,0.9880802379161182,0.44033628756152443,0.872276631663231,0.9920080080033954,0.9920802379161181,0.9920080080033954,0.9920802379161181,-23293.090422623904,-23277.99559954154,-23591.825522109328,-23281.47509411878,-23281.475094122066
4,0.9959999979841934,0.9960000000000001,0.9959999979841934,0.9960000000000001,0.9959999979841934,0.9960000000000001,0.9959999979841934,0.9960000000000001,-23100.443856153575,-23093.327173795566,-23093.320817487867,-23097.29758419958,-23097.29758419958
5,0.9800800608387954,0.9800787701786142,0.070899922084668,0.8458019011512425,0.9840480330871001,0.9839975702626707,0.9840480330871001,0.9839975702626707,-22903.966255519583,-22886.069421585697,-23333.501928378933,-22889.9480016371,-22889.9480016371
6,0.9840480409128302,0.9840772555409891,0.9840480409128302,0.9840772555409891,0.9800800681405879,0.9799964257308295,0.7120489462051477,0.9006779960638518,-23012.985704674255,-22989.09908872701,-22989.11273134355,-22993.80595193065,-23198.757812507858
7,0.9800800647030232,0.9800686667592334,0.9721681494946327,0.9722174880253478,0.9840480364820869,0.9839880260073844,0.9840480364820869,0.9839880260073844,-23327.464015060934,-23307.730424951085,-23339.383407416237,-23313.505736856892,-23313.505736856892
8,0.992008000063936,0.9919972555409892,0.9642882617720272,0.96439146000738,0.992008000063936,0.9919972555409892,0.992008000063936,0.9919972555409892,-23119.247300281262,-23110.242486932984,-23203.93003292234,-23113.303301496897,-23113.303301496893
9,0.9920076043043373,0.9919972555409892,0.9920076043043373,0.9919972555409892,0.980078915683888,0.979993507950498,0.5236141448955097,0.8105419503929718,-22683.368517174255,-22670.708669107404,-22670.715105538628,-22674.445357031716,-22999.057597391282
