iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.4889753421030265,0.4914683246309089,-0.0007731669046998378,-0.003780669771382411,0.04630622513816289,0.04346709788682756,-0.0028960478235316328,-0.0036375267698165203,-10054.831502506962,-9948.961219850695,-9964.00122270765,-9966.731143332452,-9967.322981676649
1,0.6201752118789366,0.6226390269307626,0.6201752118789366,0.6226390269307626,0.00453439211570948,-0.00024112818855254685,0.00453439211570948,-0.00024112818855254685,-9721.126916953928,-9632.01007820507,-9632.005982696735,-9667.41764952344,-9667.417651127662
2,0.7739437356467412,0.7735837463515081,0.7739437356467412,0.7735837463515081,0.1990425027564193,0.20535097091942864,-0.0004528243715857524,-0.0005926784880256398,-9928.112432707083,-9866.642409900587,-9866.640605855384,-9911.600328996989,-9913.925751019915
3,0.010846067272747537,0.012244201748123677,-0.0005050124727226247,-0.0020353217024710202,0.033156470843066665,0.047667365912836615,0.0007335945708587774,0.0017544729147048617,-9957.1580848586,-9864.114103245127,-9860.041726934778,-9864.96542342571,-9865.439482583794
4,0.7185398406881145,0.7208776260898216,0.7185398406881145,0.7208776260898216,0.043659335451672505,0.04991131782027503,0.04193003707934015,0.04726980728981293,-10082.120204159419,-10023.16840240141,-10023.17042838839,-10057.4534355027,-10057.460905699787
5,0.011816992931365292,0.010198988385225542,0.008367124446523485,0.009115353111021216,0.0024810091574889704,0.00427416740976617,0.0024810091574889704,0.00427416740976617,-9899.02950698991,-9852.150863671804,-9852.102370502624,-9859.682620648955,-9859.68262067754
6,0.5289754978394623,0.528705066630429,0.5289754978394623,0.528705066630429,0.007995811739768642,0.009402965742245625,-0.0019322942523917403,-0.0018018988527126576,-10051.873667466549,-9985.806705120527,-9985.78702697845,-10015.657611299417,-10016.307068123684
7,0.752926995668613,0.7516752641344112,0.752926995668613,0.7516752641344112,0.002259994613096878,0.0015947879307861331,0.0,0.0,-9792.929208386056,-9734.163671559181,-9734.16189330202,-9788.47096522467,-9789.763632682589
8,0.691606949365476,0.6930812528311753,0.691606949365476,0.6930812528311753,-0.00037567361496799177,-0.0027867389051416972,-0.00037567361496799177,-0.0027867389051416972,-9949.72286636491,-9868.454267506168,-9868.453279003481,-9915.769499323222,-9915.769498780403
9,0.003955130155506022,-0.0025335155066309365,0.6392765173687514,0.6368096446336066,0.009190615728578948,0.006364582858512884,0.0004611683854498105,0.00158863024382814,-9774.193528442247,-9709.26402027818,-9682.521643383254,-9717.671662139659,-9718.312211230896
10,0.7952401727168026,0.7972490155155294,0.7952401727168026,0.7972490155155294,0.07237837133390747,0.07781736134406553,0.06971538438048529,0.07578889935834535,-10166.18673355241,-10107.822801456177,-10107.822262148966,-10160.188954713365,-10160.241940826312
11,0.0004990512921368659,0.0002611364153048905,-0.00515842699548421,-0.011786982111426373,0.04643058566309491,0.042655699869288036,0.0004990512921368659,0.0002611364153048905,-9809.75488768909,-9710.18838483103,-9709.891576307962,-9712.582352515941,-9710.474774293758
12,0.8833667573293437,0.882742673953626,0.8833667573293437,0.882742673953626,0.15512673111531206,0.1579062111625776,0.009726443921487853,0.006837024610415824,-9984.43803849622,-9938.766507593655,-9938.76961899702,-10009.014253027368,-10011.085099013095
13,0.6849546284948398,0.6881470232590472,0.6849546284948398,0.6881470232590472,0.004247437425626213,0.003536458592099457,0.0,0.0,-9992.99923355241,-9924.016181398654,-9924.015642306744,-9965.483528048835,-9971.014380281234
14,0.725354811352604,0.7248416077534834,0.725354811352604,0.7248416077534834,0.014158747270536417,0.02195235289233931,0.00040820429388652434,0.0003265049299133476,-9995.360315391428,-9923.152149671158,-9923.151873891768,-9989.047633098995,-9992.085335499432
15,0.006366054014518765,0.016859185188946364,0.0026934008494996467,0.002445698925675168,0.0,0.0,-0.002392244542016792,-0.0032606324211927563,-9896.0741004836,-9814.355297880687,-9812.349377438202,-9815.751086841856,-9814.764634451043
16,0.6138791240299493,0.6131874484153583,0.6138791240299493,0.6131874484153583,0.01347921110215797,0.004705874241173443,0.0009811988161079529,-0.001292929292929293,-9931.5330848586,-9847.708650488687,-9847.711165610624,-9886.648465186734,-9887.121539514967
17,0.6328891569976897,0.6325709673499222,0.6328891569976897,0.6325709673499222,0.0,0.0,-0.00040374138271456197,-0.001292929292929293,-9907.946868606385,-9847.423544308493,-9847.434805396138,-9907.199182324744,-9906.471883502536
18,0.0028736496734503634,0.002676504419908754,0.0028736496734503634,0.002676504419908754,0.0005106317381711676,-0.0003077958928485548,0.0005106317381711676,-0.0003077958928485548,-9758.124315647738,-9697.468328171726,-9697.379889081516,-9699.51770681191,-9699.51770275511
19,0.7253280913865603,0.7333702048058137,0.7253280913865603,0.7333702048058137,0.17425137143468827,0.18309132726359828,0.1581399018328404,0.167695177442114,-10119.909266659419,-10058.72713801258,-10058.727291213123,-10099.711995639884,-10099.660145711548
20,-0.0021739916453922636,-0.002274891251268548,-0.00957338213520448,-0.00980306384487967,0.0,0.0,-0.0011032345128530105,-0.001219209991574565,-9774.677862394583,-9691.845337928178,-9688.151179952069,-9692.382094206509,-9692.14590363022
21,0.02039595162252609,0.01032551345055905,0.014073914648944877,0.01322035432719107,0.0,0.0,0.0,0.0,-9727.043991236755,-9658.0594918332,-9654.553085545544,-9658.805211152541,-9658.805211156257
22,-0.0007977171876581343,-0.006529395516964664,-0.009473886548182474,-0.009111463610548909,0.0,0.0,0.0,0.0,-9657.937956400892,-9595.190596698625,-9592.365764643118,-9596.470273295903,-9596.47027334378
23,0.546685825013726,0.5441586556591415,0.546685825013726,0.5441586556591415,0.0,0.0,-0.004835635161277797,-0.005728566460210674,-9911.232467799255,-9819.580907390466,-9819.669392371714,-9867.522750444712,-9862.28346535541
24,0.6521725263655582,0.6533915335023195,0.6521725263655582,0.6533915335023195,0.004142077505050639,0.009601743732792887,0.0,0.0,-9808.25606948991,-9740.056816113789,-9740.054197521027,-9786.731725024443,-9791.622400584118
25,0.47227279284182927,0.4686648379024857,0.47227279284182927,0.4686648379024857,0.09785856389516258,0.09680462213033278,0.09785856389516258,0.09680462213033278,-9891.834604966547,-9812.722946524778,-9812.713938221445,-9846.802554928376,-9846.802555138354
26,0.5407820403053721,0.5566106296149321,0.5407820403053721,0.5566106296149321,0.0,0.0,0.0,0.0,-10041.281501162573,-9949.981021297364,-9949.97399811379,-10028.493405889356,-10027.883950926704
27,0.6265167724809343,0.6264858093073317,0.6265167724809343,0.6264858093073317,0.005887170956064752,0.014448588995847764,0.0010962028829357333,0.0001765225229322539,-9810.981819618066,-9740.408611201663,-9740.408237946796,-9763.733357149133,-9763.718756110611
28,0.589000947629152,0.5891547069502262,0.02730369128213595,0.025773995219454282,0.0008203600554534757,-0.00041363860301091326,0.0,0.0,-9835.996509103228,-9757.127794218088,-9783.590844665507,-9788.591909667653,-9791.622315916758
29,0.7117628169953216,0.7112722387960353,0.7117628169953216,0.7112722387960353,0.0033385575919811067,0.004170319431784731,0.0,0.0,-9879.498462228228,-9816.699471507456,-9816.714106106907,-9878.76063314291,-9881.454862155219
30,0.5644862768692017,0.5642121404055931,0.5644862768692017,0.5642121404055931,0.0006956275301036035,0.0006957530076822728,0.0006956275301036035,0.0006957530076822728,-9902.753870078928,-9799.627070773246,-9799.712419639312,-9823.366752957862,-9823.367287262183
31,-0.00817771206146527,-0.009537445473321585,-0.008499907973647367,-0.010437572559164974,0.0,0.0,-0.0007797224001774675,-0.0004529465619428516,-9951.58712417741,-9884.236358580223,-9883.72962229218,-9891.468164555421,-9890.296765716068
32,0.725182332886017,0.7237116254199617,-0.00685215487390676,-0.007823494533680574,0.17687893817537476,0.18672129996614498,-0.0010068388983269145,-0.000982071485668608,-10128.970995335238,-10053.313326442174,-10122.179399962992,-10113.784122320238,-10124.419780567461
33,0.540782561526579,0.5431144175915847,0.540782561526579,0.5431144175915847,0.06784477747755487,0.06963143684010574,0.0009813649942087015,0.0008030384220766874,-10117.523524471919,-10031.726488750302,-10031.721716419252,-10073.937535447663,-10073.279126318837
34,0.570677871576702,0.5751861689676845,0.570677871576702,0.5751861689676845,0.0011997863542561246,-0.00034232382494485045,-0.0009153032710911385,-0.0013110608146017833,-9923.060387560936,-9834.051137073857,-9834.050439707906,-9875.45871234647,-9876.280073246931
35,0.4833974339642517,0.4824520897383243,0.4833974339642517,0.4824520897383243,0.05401178663843498,0.05139075171470223,0.0,0.0,-10113.433639674255,-10020.613394263288,-10020.622566579432,-10041.843839631747,-10048.43100288002
36,0.7388877636820517,0.739812681746858,0.06942557554700475,0.06557394501172212,0.0,0.0,0.0,0.0,-9790.602790225073,-9727.429962002265,-9762.577546066905,-9774.883664149538,-9774.200723903497
37,0.7322006309747743,0.7310580825062744,0.7322006309747743,0.7310580825062744,0.0,0.0,-0.0024723177399441523,-0.00436822141729627,-9925.16036636491,-9862.282762414618,-9862.284944392355,-9920.86022537116,-9915.783019349139
