iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.9920000001562724,0.9919993417272899,0.9920000001562724,0.9919993417272899,0.9920000001562724,0.9919993417272899,0.06996405311498956,0.845138585284365,-11499.36642105241,-11493.88781961758,-11493.846084208932,-11495.485732508883,-11786.52386858539
1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-11338.512216198556,-11335.321225216474,-11335.314636980116,-11337.640669704922,-11337.64066970492
2,1.0,1.0,1.0,1.0,0.9919999982810025,0.9919998119331364,0.9919999982810025,0.9919998119331364,-11555.510829159419,-11548.789251234202,-11548.785295891888,-11552.323950685584,-11552.323950685588
3,0.9919998213107827,0.992,0.9919998213107827,0.992,0.9919998665493138,0.9919998119331364,0.9919998665493138,0.9919998119331364,-11386.702440647738,-11381.242293008761,-11381.211061562379,-11385.178471293413,-11385.178471293413
4,0.9919999775871758,0.992,0.9919999775871758,0.992,0.9840320153662032,0.9839995611635629,0.09060226443974945,0.7894681242274703,-11477.664559948556,-11470.414203501146,-11470.418385169965,-11473.216526498229,-11832.647617128132
5,0.9840240753254221,0.9839838299104906,0.9840240753254221,0.9839838299104906,0.9760848740699771,0.9759783409924692,0.9760848740699771,0.9759783409924692,-11298.926114507902,-11284.216921332174,-11284.211520273559,-11287.19233654449,-11287.19233654449
6,0.9919929185012484,0.9919945110819786,0.9919929185012484,0.9919945110819786,0.9840186091091355,0.9839850968945036,0.9840186091091355,0.9839850968945036,-11102.711270757902,-11092.974399943889,-11092.968954398348,-11096.838327414347,-11096.838327414347
7,0.9919952779916594,0.9919971467023199,0.9919952779916594,0.9919971467023199,0.9840221211339132,0.9839942934046396,0.9840221211339132,0.9839942934046396,-11225.861661382902,-11219.76339018608,-11219.75774396112,-11223.413274211,-11223.413274211001
8,0.9919999982810025,0.9919998119331364,0.9919999982810025,0.9919998119331364,0.9840320648505942,0.9839991536604262,0.9840320648505942,0.9839991536604262,-11336.293630389211,-11328.428356051883,-11328.420009707383,-11332.29800778468,-11332.29800778468
9,0.9840310441673102,0.9839994671371317,0.9840310441673102,0.9839994671371317,0.9840310441673102,0.9839994671371317,0.9840310441673102,0.9839994671371317,-11605.185272999375,-11594.41566359909,-11594.397384825232,-11596.566569364633,-11596.566569364633
10,0.99199998169963,0.9919995611635631,0.99199998169963,0.9919995611635631,1.0,1.0,1.0,1.0,-11452.106048293885,-11444.877636368588,-11444.867075051496,-11447.486955219141,-11447.486955219141
11,1.0,1.0,1.0,1.0,1.0,1.0,0.0396695969504717,0.9290497246887744,-12065.418137817247,-12059.607665644522,-12059.59725187207,-12061.57241389809,-12436.7509588445
12,1.0,1.0,1.0,1.0,0.9919999775871758,0.9919992163297293,0.9919999775871758,0.9919992163297293,-11385.600229966547,-11380.356636548948,-11380.335255364962,-11383.935151294017,-11383.935151294017
13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-12191.757776328928,-12185.079240386149,-12185.021543258135,-12186.640438816943,-12186.640438816943
14,0.9919999944811108,0.992,0.9919999944811108,0.992,0.9840320578693613,0.9839993417272901,0.9840320578693613,0.9839993417272901,-11324.869473882902,-11314.65095949106,-11314.63724066609,-11316.97602276438,-11316.97602276438
15,0.9840320230862317,0.9839992163297293,0.9919999775871758,0.9919992163297293,0.9919999775871758,0.9919992163297293,0.1307698252347914,0.7399810809929217,-11523.980596769583,-11517.856366082324,-11517.844776816379,-11520.250204523507,-11932.211105348644
16,0.9919999997943784,0.9919992163297293,0.9919999997943784,0.9919992163297293,0.9840320660777474,0.9839990282628657,0.9840320660777474,0.9839990282628657,-11511.45431167741,-11504.30182676255,-11504.281111509998,-11508.823614788465,-11508.823614788465
17,0.9840320626466431,0.983998902890853,0.9840320626466431,0.983998902890853,0.9840320626466431,0.983998902890853,0.4946029915866874,0.809776630812582,-11396.745368350073,-11392.2862058344,-11392.275950933554,-11394.816673087282,-11644.500768896854
18,1.0,1.0,1.0,1.0,0.9840320040385563,0.9839992163297293,0.5174465005886807,0.819633697615779,-11427.949469912573,-11426.508781122648,-11426.47822444055,-11429.215518189381,-11665.85117656395
19,0.99199998169963,0.99199877740731,0.99199998169963,0.99199877740731,0.9840320165194881,0.9839988715337246,0.9840320165194881,0.9839988715337246,-11357.827399600073,-11351.982773645057,-11351.973450096608,-11356.57627370118,-11356.57627370118
20,0.9919999904673683,0.992,0.9919999904673683,0.992,0.9919999904673683,0.992,0.11383927053210162,0.7560952645266068,-11582.271571346919,-11574.530535788683,-11574.51664453374,-11576.192504983092,-12008.288776651027
21,0.9919999328927508,0.992,0.9919999328927508,0.992,1.0,1.0,1.0,1.0,-11523.214241493066,-11517.210180900041,-11517.197908457609,-11519.901260495732,-11519.901260495732
22,0.9919999691484065,0.9919993417272899,0.9919999691484065,0.9919993417272899,1.0,1.0,1.0,1.0,-11373.135993350073,-11367.324173509442,-11367.310940976899,-11369.387587618412,-11369.387587618412
23,0.9840320243133913,0.9839985580570193,0.9840320243133913,0.9839985580570193,0.984032031618886,0.9839984326594585,0.46679343351108815,0.853393439473575,-11480.281172781264,-11473.16185627772,-11473.15778508105,-11476.356549410362,-11670.10586011537
24,0.9919999034306759,0.9919971467023199,0.9919999034306759,0.9919971467023199,1.0,1.0,0.4667595773309126,0.8534520706209425,-11155.926032412573,-11149.546153591979,-11149.536182232267,-11151.715688217693,-11492.783408366462
25,0.9840320634059188,0.9839993417272901,0.9840320634059188,0.9839993417272901,0.9840320634059188,0.9839993417272901,0.9840320634059188,0.9839993417272901,-11218.051237650892,-11207.226252348444,-11207.208712982054,-11209.47734821775,-11209.47734821775
26,0.9840302890156833,0.9839975548146199,0.9840302890156833,0.9839975548146199,0.9919990296688364,0.99199877740731,0.5464604345172795,0.7953176600805061,-11343.824059435936,-11333.651944425268,-11333.644515171283,-11336.788512416531,-11517.610890580208
27,1.0,1.0,0.9919993156243355,0.9919945110819786,0.9919993156243355,0.992,0.9919993156243355,0.992,-11790.23263198991,-11784.021690396023,-11805.019572614072,-11785.87017094029,-11785.87017094029
28,1.0,1.0,1.0,1.0,0.9919999860917265,0.9919993417272899,0.9919999860917265,0.9919993417272899,-11385.161589213392,-11378.223034474055,-11378.211601112855,-11380.659244581508,-11380.659244581508
29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-11342.292932578928,-11336.67899705951,-11336.660409204254,-11339.686752472304,-11339.686752472304
30,1.0,1.0,1.0,1.0,0.9760901151117842,0.975988363891247,0.38317260392675795,0.9165284103780211,-11699.302378404049,-11691.226816230264,-11691.21236991093,-11695.676681121959,-12002.670677301405
