iteration,global_ari,average_ari,loss,true_loss
0,0.0011993956145362663,-0.0001522251028708703,10768.5693359375,10697.83745837653
1,0.003079007735216603,0.0026951484558519314,10702.3916015625,10687.744705462863
2,0.0009924746682510983,0.005046777151830932,11052.1591796875,10968.114010278518
3,0.8387260263396155,0.8395658283668241,10724.00390625,10773.008623623846
4,0.0009096910051066224,0.0001617442499919128,10750.98046875,10648.960874680504
5,0.009168198566541767,0.005764852564694585,11148.330078125,11022.92164798985
6,0.8313883073155675,0.8314922917437941,11025.00390625,11071.357215388682
7,0.0003490532159265987,-0.0014983791324328355,10886.4072265625,10817.553627594172
8,0.01057042398154016,0.009742321243286152,10818.498046875,10726.131773118004
9,0.4083272048279664,0.5364462465297621,11002.8134765625,10991.067278945342
10,0.0,0.0,10847.3583984375,10793.296586418353
11,-0.00021449335873650538,0.0,10901.7841796875,10806.92067142735
12,-0.0013157842494549874,-0.0001522251028708703,10833.5556640625,10766.036861841018
13,0.003681595691538529,0.04094600483302301,10917.5126953125,10830.309322778518
14,0.8024203631013856,0.8033067131955802,10814.78515625,10864.281084561346
15,0.014764533516511117,0.012254655344222454,11131.9033203125,11051.134702805504
16,0.005065160483418353,0.0024911970478752343,10766.2900390625,10692.69215580235
17,-0.00014584426996972635,-0.0015530782992861313,10838.5234375,10788.84167248401
18,0.000814506368914951,-0.00023875441244733224,10969.8857421875,10970.931249424195
19,0.8241117577210788,0.8232551517416387,10831.302734375,10873.278967245691
20,0.00432603684855123,0.0010907143204947167,11048.1201171875,10946.009702805504
21,-0.0016991907422381144,-0.000932107873554967,10776.9833984375,10786.458613698027
22,-0.0015272641989018702,-0.002498866441634339,11071.6337890625,11001.193050269521
23,0.014262894825058084,0.16798812697577042,11035.9697265625,10954.605200692185
24,-1.1256141347984021e-05,-0.0007692965357627092,11219.75390625,11141.456217630155
25,0.8460916938420658,0.8453243608078628,10953.498046875,10997.229203605853
26,0.8534786936372262,0.8579945928865838,10781.25390625,10816.294530674195
27,0.8984962484450622,0.8990649654390547,10831.2646484375,10863.73057012116
28,-0.004660560315638867,-0.0022982783777193063,11101.7255859375,11008.779923284359
29,0.8909175104403587,0.8915358708668695,10976.515625,11007.374834561346
30,0.8985004415265123,0.8990672265260148,10830.3798828125,10867.437231942185
31,0.0005154613025668345,-0.0006832245135254071,11101.638671875,11000.073158844172
32,0.8609044279038179,0.8606669117248302,10950.4658203125,10990.332944993004
33,0.8096191846506263,0.8095085306625712,10873.48046875,10925.987890049195
34,-0.0008735738497905159,0.0005107695272972583,10998.80078125,10903.222798668823
35,0.0018058126460340001,-0.0014014612225288407,10911.2529296875,10879.269140049195
36,0.8683606233217204,0.8683503469366795,10768.1904296875,10812.241250737165
37,0.8833667419806591,0.8830428095652485,10956.134765625,10990.694375737165
38,-0.000258897182759451,0.0,11062.8544921875,10943.961810195342
39,0.8985009524368007,0.8980968723467312,10892.5107421875,10930.881506308191
40,0.8909178406058668,0.8907360433749604,10936.05859375,10974.043697778518
41,0.043028559718032114,0.7957907256800745,11093.44140625,11101.501561924195
42,0.04138718404394468,0.05790748857646781,11014.3583984375,10920.70885998401
43,0.8168490101771756,0.8180152500994478,10838.71875,10890.659785573027
44,2.805622592152369e-06,-0.00022592098723064015,10807.296875,10724.883295242535
45,0.005066695522858484,0.0044688685293292904,10931.5693359375,10883.838414415199
46,0.8758472445256282,0.8751252067121303,10906.96875,10945.562478228168
47,0.5059270088681651,0.6639101489929893,11039.2802734375,11032.375729028518
48,0.8460917583623252,0.8467772438669083,10741.7548828125,10793.313023790199
49,0.8314069555427573,0.8361206163455241,10952.2451171875,10994.447994653518
50,0.8024055039681797,0.8015338246319219,10972.009765625,11025.363969230853
51,-3.1873015856761384e-05,0.0,11001.6748046875,10931.184281730853
52,-0.0012751047570591862,-0.0004873391686507823,11006.9013671875,10935.573323034829
53,0.0013251815974001855,-0.0015974049994707834,10945.6650390625,10787.70420293366
54,0.8460850150498936,0.8465544999593384,10927.8212890625,10966.054624680504
55,0.846092191331029,0.8469430106224966,10825.8828125,10870.243872567185
56,0.8758473252278274,0.876363123493757,10914.615234375,10961.783932153518
57,0.9291531268164688,0.9291280809446171,10953.3515625,10985.539955719172
58,0.8909178489889494,0.8915474004704921,11026.234375,11060.06011462653
59,-0.001776001976594112,0.0005107695272972583,10897.4814453125,10858.272172355853
60,0.0,0.0,11089.71875,11020.968420370691
61,0.8240380143666807,0.8229387975579053,11055.0078125,11106.916703605853
62,0.009567767447860356,0.00947676815992185,10995.6611328125,10889.10796618903
63,0.8241114669417046,0.8273084329414531,11070.0283203125,11123.01344486485
64,-0.00015367833708429535,-0.000610994019009615,11012.484375,10939.030190094172
65,-0.002564614317456072,0.006495790046094921,10985.330078125,10905.59807742104
66,0.39822161639915415,0.8418234645118291,11019.052734375,11015.71656986485
67,0.8387329239387932,0.8399147326868647,10839.751953125,10865.799434010527
68,-0.002114612825173073,0.0,10689.9423828125,10604.278052254685
69,0.9368977708572352,0.936643281803024,10907.068359375,10942.307595415668
70,-0.0001651235040896123,0.0014863187797952812,10976.4248046875,10919.18316150153
71,0.8909177419152994,0.8917980999446605,10814.7705078125,10844.187437180504
72,0.0031967744216733008,0.0030060482553895007,10973.38671875,10822.548436924195
