iteration,global_ari,average_ari,kmeans_global_ari,kmeans_average_ari,prior_random_global_ari,prior_random_average_ari,prior_kmeans_global_ari,prior_kmeans_average_ari,true_loss,loss,kmeans_loss,prior_random_loss,prior_kmeans_loss
0,0.34916225773612874,0.9839996552039952,0.9760961180430352,0.9759993104079907,0.0,0.0,0.0,0.0,-11920.957842373846,-11953.889046192231,-11910.852756297527,-12474.129033581845,-12474.131596437308
1,0.03970148137910977,0.992,1.0,1.0,0.0,0.0,0.0,0.0,-11702.024330719172,-11692.886186758235,-11696.467126305943,-12251.336854208568,-12252.420496115641
2,0.9760922110721942,0.9760130196197512,0.9681874904072534,0.9682967331866601,0.0,0.0,0.0,0.0,-11848.499855085178,-11833.903248736882,-11833.918397951305,-12372.647069542343,-12372.64824571433
3,0.9840317580481719,0.9839903977456617,0.9840317580481719,0.9839903977456617,-0.0015988297514728507,-0.0035022832773521527,-0.0015988297514728507,-0.0035022832773521527,-11879.087581519521,-11867.113325023594,-11866.710921788894,-12350.754165998598,-12350.753139307819
4,0.9681921716431269,0.9681584180679315,0.9681921716431269,0.9681584180679315,0.0,0.0,0.0,0.0,-11845.979224129685,-11830.189254010866,-11830.183540668333,-12307.66564252186,-12307.665642521863
5,1.0,1.0,0.9919998213107827,0.992,0.0,0.0,0.3491634747172547,0.9839998119331363,-11882.391354028518,-11879.468329188869,-11878.6900932427,-12347.74668439854,-11921.335957814423
6,0.9919973505101598,0.9919945110819786,0.9919973505101598,0.9919945110819786,0.9919973505101598,0.9919945110819786,0.0,0.0,-11950.361892962863,-11941.8603875466,-11941.85568621539,-11943.593546695827,-12470.742198727554
7,0.03494130292088978,0.9839993417272901,0.9840317537427083,0.9839993417272901,0.0,0.0,0.0,0.0,-11931.534949763682,-11920.268362439805,-11920.385236266156,-12435.138541270051,-12435.130812138816
8,0.038076438856237814,1.0,0.0004130091161208335,-0.0006827908065399271,0.0,0.0,0.0,0.0,-11788.00465580235,-11782.001517884528,-12296.863843940591,-12299.104229876944,-12299.073641454275
9,0.9840312292878678,0.9841614067256721,0.9840312292878678,0.9841614067256721,0.035939599602909406,0.03591565996019007,-0.0026099303253762193,-0.002575983620784871,-11865.224095031203,-11855.165570045894,-11855.157483472007,-12364.725515019181,-12364.383921688024
10,0.9919999730634713,0.9919992163297293,0.003055428858765862,0.0030331067009037186,0.0,0.0,0.9919999730634713,0.9919992163297293,-11865.423765305504,-11858.142288754483,-12435.983377539624,-12438.68986293358,-11860.211723094173
11,1.0,1.0,1.0,1.0,0.0,0.0,-6.397451132144595e-06,0.0007967991385659801,-11945.566035573027,-11936.964286791903,-11936.985403411783,-12385.27091711295,-12383.76634212059
12,0.044133671526387454,0.18330351704053452,0.9919999691484065,0.99199877740731,0.03970243904425139,0.9761600680273433,0.03341382775302825,0.9761600680273433,-11864.519386335178,-12359.371146149655,-11854.74123370999,-11898.097239564562,-11898.243278889795
13,0.9760961928517079,0.9761610884610888,0.00019536192789319768,0.0,-0.0006816729324323136,-7.898435424907094e-05,0.03046147107532394,0.9604845523600408,-11773.312355085178,-11763.767285047777,-12267.793601024732,-12270.835772322424,-11801.040010357545
14,0.9760961872484464,0.9761593430487154,0.9760961872484464,0.9761593430487154,-0.0010030369507932977,-0.0009013459011305159,-0.0010030369507932977,-0.0009013459011305159,-11802.939185067185,-11789.266686758387,-11789.269173603356,-12304.210570376112,-12304.210563850394
15,0.03808292071230881,1.0,1.0,1.0,0.0,0.0,0.9919999034306759,0.9919992163297293,-11939.978534900833,-11933.391450010724,-11933.57654489351,-12443.276322539694,-11935.933910527418
16,0.03493119649776316,0.9679976803841454,0.9681923054596068,0.9679976803841454,0.0,0.0,0.0,0.0,-11831.582678183191,-11819.471739702887,-11819.853372984284,-12364.915481108726,-12364.914968896139
17,0.0380754785738349,0.9839985893404464,-0.001924589405505436,0.0,0.0,0.0,0.034933489461924136,0.9839990282628657,-11830.189164543353,-11825.52409537181,-12314.153789371618,-12315.635831375872,-11873.37089059247
18,0.03648899677719174,0.9759976489410345,0.9920000001562724,0.99199877740731,0.3444312649917435,0.9759976489410345,-0.00036641132057026226,-0.0011027420863486436,-11852.562900647208,-11865.900514337147,-11843.816407298988,-11872.599913880069,-12421.711278584735
