iteration,global_ari,average_ari,loss,true_loss
0,0.9760945186375971,0.9759969586354561,-11913.674430258918,-11927.873878522678
1,0.9919999740011123,0.992,-11575.596695243214,-11581.569170498846
2,0.5116856969724113,0.8224645276431304,-11749.06131436496,-11605.545322522208
3,0.9919999997943784,0.9919993417272899,-11511.785150877557,-11518.691343430504
4,0.99199998169963,0.9919998119331364,-11648.157123237277,-11655.353329662514
5,1.0,1.0,-11462.2680821533,-11465.203812980853
6,0.9840320099978856,0.9839985580570193,-11551.862338522025,-11556.441076620691
7,1.0,1.0,-11799.59240874766,-11802.016312980853
8,1.0,1.0,-11557.489976221643,-11560.803258165199
9,0.9919995362962712,0.9919971467023199,-11936.958304035752,-11942.787899975014
10,0.9840320165194881,0.9841601267189862,-11602.146364021239,-11608.16265368903
11,0.711463472943519,0.7919971467023198,-11372.473165612826,-11268.300738954336
12,1.0,1.0,-11660.64646798142,-11667.316261335178
13,0.9840320230862317,0.9839991536604262,-11586.160155462509,-11600.002723201182
14,1.0,1.0,-11587.735805025673,-11591.886348073027
15,0.9840320050933414,0.9841616161616162,-11499.385842999665,-11507.976581775833
16,1.0,1.0,-11475.091127542595,-11477.899125480853
17,0.99199998169963,0.9919998119331364,-11615.36791131593,-11625.506444736695
18,0.9919988588426287,0.9919995611635631,-11316.317061716883,-11324.104388320342
19,0.9919998665493138,0.9919998119331364,-11751.052171384206,-11756.119910701182
20,1.0,1.0,-11709.926221416328,-11714.192135278518
21,0.99199998169963,0.992,-11656.917197240342,-11663.62749743903
22,0.6076227342221008,0.8004854304897835,-11728.669027494236,-11619.66253054604
23,1.0,1.0,-11611.268024212148,-11618.1123034395
24,0.9840320089020589,0.9839964884296097,-11554.224587356734,-11563.677343174195
25,1.0,1.0,-11560.941888692725,-11567.952856942185
26,0.9840318395231936,0.9839987774932922,-11357.472508504101,-11364.878802382842
27,0.976094824644038,0.9761611274691304,-11412.239924858046,-11422.549392962863
28,0.6201871993900662,0.7987070707070707,-11837.136360065786,-11692.712889377
29,0.9920000001562724,0.992,-11486.513484960647,-11495.100174212863
30,1.0,1.0,-11581.755875396573,-11586.607276960178
31,0.6202160704956093,0.7841618721313595,-11742.159229370603,-11577.008541528518
32,0.9919999854008352,0.9919993417272899,-11437.385523447005,-11443.587745710178
33,0.9919999711388391,0.992,-11526.323125683359,-11533.162087603168
34,0.9919999944811108,0.9919992163297293,-11623.263313817508,-11629.412838403518
35,0.9840320578693613,0.9839938528092684,-11790.861405341317,-11802.93120837653
36,1.0,1.0,-11430.662869712261,-11440.689287686346
37,0.43973389605618196,0.8517447513296365,-11674.822543058097,-11516.898169442185
38,0.9840320089020589,0.9839998119331363,-11502.828025382114,-11511.67077404651
39,0.9919999034306759,0.992,-11154.456761153706,-11167.321792328867
40,0.9919998213107827,0.9919850525031807,-11472.87445275833,-11477.82594486485
41,0.9919997667277575,0.9919971467023199,-11751.084822445217,-11762.238136335178
42,0.976096191770377,0.9759987148239894,-11704.266349036967,-11715.842300141367
43,0.6329072572696726,0.8,-11841.225338983866,-11665.912128650833
44,1.0,1.0,-11621.41007230171,-11625.693091317185
45,1.0,1.0,-11646.409448158269,-11651.939308210178
46,0.9840319537411472,0.984,-11472.632941204254,-11482.738136335178
47,0.9760961002009502,0.9759993417272899,-11449.408581717771,-11462.113608383312
48,0.976094824644038,0.9761609394022667,-11802.218261716089,-11816.202754323027
49,0.99199998169963,0.9919995611635631,-11627.000673560646,-11636.287005507842
50,0.9919998213107827,0.992,-11901.549078979662,-11906.313270076182
51,0.5767598873144058,0.8067390484240692,-11856.438341735357,-11731.177692079336
52,0.9919999711388391,0.9919992163297293,-11528.199508769445,-11533.567988698027
53,0.9840320626466431,0.9839985580570193,-11410.694278421202,-11415.882359727699
54,0.9919999691484065,0.9919993417272899,-11617.098035977662,-11625.293800397678
55,0.9920000001562724,0.99199877740731,-11718.652951055767,-11729.092566951182
56,0.9919999982810025,0.9919996552039955,-11383.89456891405,-11391.96636462653
57,0.9919999034306759,0.9919992163297293,-11746.409627629355,-11753.37770267735
58,0.9919999997943784,0.9919998119331364,-11408.514909012243,-11412.113013192185
59,0.9840319571353601,0.9839996552039952,-11506.19780535648,-11514.304214203867
60,1.0,1.0,-11571.918015433499,-11575.983130379685
61,1.0,1.0,-11834.105009596124,-11842.15319592151
62,0.9919999944811108,0.9919992163297293,-11643.815782776892,-11650.261573835178
63,0.9840320488565437,0.9839993730966994,-11403.751058840537,-11409.192217373846
64,0.2406799973708436,0.6657697003259788,-11821.984502894089,-11522.947912558191
65,0.991997003537941,0.992,-11831.195093015067,-11839.077106141836
66,0.9840320660777474,0.9841606232309881,-11438.27253009621,-11445.688372695342
67,0.9919999681285151,0.9919995611635631,-11525.011957080364,-11533.297173028048
68,1.0,1.0,-11633.314017763101,-11642.831115010997
69,0.9920000001562724,0.9919993417272899,-11640.398447331125,-11646.85210681403
70,0.20641241871584917,0.6284481337334581,-11997.934255376797,-11724.240901832021
71,0.9681923796599017,0.9681606230554014,-11689.438070317168,-11704.401932025363
72,0.9919999997943784,0.9919993417272899,-11509.979015807216,-11516.907266362165
73,0.984032031618886,0.9839993730966995,-11616.819813838327,-11626.697284900833
74,0.9840312350384399,0.9841611274691303,-11695.319957164485,-11702.58571048985
75,1.0,1.0,-11796.684506640233,-11801.974341317185
76,0.99199998169963,0.9919995611635631,-11549.970379387916,-11559.744931225014
77,1.0,1.0,-11768.573533646295,-11775.194293641836
78,0.4773290139826178,0.8568210114424616,-11519.991027995884,-11361.425513192185
79,1.0,1.0,-11585.981413644113,-11593.789627337863
80,1.0,1.0,-11491.418185355995,-11499.722511335178
81,0.9840320230862317,0.9841599999999999,-11510.055615963936,-11525.258192623376
82,0.9919999775871758,0.9919998119331364,-11674.914688105135,-11678.908891105853
83,0.9840318355379102,0.9839992163297293,-11471.901424201415,-11481.089739882842
84,0.6138934921450915,0.7992727272727272,-11763.704420653667,-11640.254676326182
85,1.0,1.0,-11253.953660453146,-11259.825235112165
86,0.9760961683251316,0.9761604351641242,-11533.179494127955,-11540.619767034359
87,1.0,1.0,-11650.639657774007,-11656.931187852699
88,0.9919999775871758,0.9919996552039955,-11633.356082764583,-11637.32399173985
89,1.0,1.0,-11280.064413891821,-11287.490840260527
